"","BT20_Abemaciclib_0.3_6","BT20_Abemaciclib_3_6","BT20_Palbociclib_0.3_6","BT20_Palbociclib_3_6","BT20_Ribociclib_0.3_6"
"MTMR11",-0.022353171156828,-0.279016248017261,-0.371463849228117,-0.192047712336104,0.194375999098661
"COX15",0.000724940441526706,0.175883640440885,-0.00865264461475334,0.245090877540588,-0.0669112653398519
"YAF2",-0.472456077794316,-0.533530339237218,-0.381907533410197,0.225049355882061,-0.23499410367461
"ZMYND11",0.000169351233428632,-0.0972495324683817,-0.126332461233342,-0.000203555846516682,-0.0528722970742072
"BID",0.233475928703174,0.115541340383794,0.140296969650971,0.0218029325722177,-0.105734905265348
"MATR3",-0.234256043788525,-0.318566882328487,-0.170187881280662,-0.11590415287011,0.0446063003277197
"XYLT2",0.325833681189217,0.0303258882205058,0.115446157813736,0.393980453107332,0.283114222562295
"NUDCD3",-0.110009796525324,-0.182012558645743,-0.145912357752419,-0.101799455385555,-0.115475543961345
"GLT8D1",0.0314270946374253,-0.269092496317703,-0.106436613696981,0.176983080563347,-0.020213393939045
"ATP2C1",-0.0496844206954481,-0.000365983895155658,-0.105951669263522,-0.0710945901175893,-0.0528231377071971
"RALBP1",-0.105322214640733,-0.33151421400248,-0.0625151271008053,-0.0526315196527591,-0.116677009336569
"RUFY3",-0.0895317104214348,-0.552414785080726,-0.200780815023674,0.22871887210526,0.31519250690546
"WWTR1",-0.281344010335111,-0.628257502955998,-0.115656494035366,-0.1293884917914,-0.0560681359610182
"CXorf56",0.061162419403479,-0.0975457340132363,0.0439885260508304,-0.0349948123234611,0.0947907155138005
"TTC27",0.139719018645308,-0.540095729750022,0.137292877570436,0.207708920124129,0.126457359566225
"PHLDB1",0.212107685064464,0.320183321350917,0.261514401637407,-0.199617621611589,0.110674615490685
"PRDM11",-0.0930749322119127,-0.0307244328323495,0.155673912044395,0.0972588710793941,0.0444169630560173
